Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Circle K,"9003 GALENE DR, LOUISVILLE, KY 40299, USA",ChIJy4XL-mSgaYgRirAmA1sJwjk,"9003 GALENE DR, JEFFERSONTOWN, KY 40299",70,"9003 GALENE DR, JEFFERSONTOWN, KY 40299"
Speedway,"5510 BARDSTOWN RD, LOUISVILLE, KY 40291, USA",ChIJqZpSSqegaYgRhP13v0BqUys,"5510 BARDSTOWN RD, LOUISVILLE, KY 40291",77,"5510 BARDSTOWN RD, LOUISVILLE, KY 40291"
Marathon Gas,"10314 WATTERSON TRAIL, LOUISVILLE, KY 40299, USA",ChIJSaf9SFagaYgRQ6TKjlNPsXQ,"10314 WATTERSON TRL, JEFFERSONTOWN, KY 40299",72,"10314 WATTERSON TRL, JEFFERSONTOWN, KY 40299"
Sms Petro,"3741 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJu9fgaIAKaYgR0S_gKU9plRs,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",79,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Friendly Mart Valero,"3741 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJVegTb4AKaYgRw-eitH0KuG4,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",79,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Jay Food Mart #1,"5050 BILLTOWN RD, LOUISVILLE, KY 40299, USA",ChIJ27WTQeigaYgR6bb2-4fpgKE,"5502 BILLTOWN RD, 40299",95,"5502 BILLTOWN RD, 40299"
Lucky food mart,"5050 BILLTOWN RD, LOUISVILLE, KY 40299, USA",ChIJvUPursOhaYgR3BUA4dQl8_c,"5502 BILLTOWN RD, 40299",95,"5502 BILLTOWN RD, 40299"
Hurstborne Lane,"3741 S HURSTBOURNE PKWY, LOUISVILLE, KY 40299, USA",ChIJu9fgaIAKaYgRMsbBWB4EXTQ,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299",79,"3741 S HURSTBOURNE PKY, LOUISVILLE, KY 40299"
Extra Space Storage,"4605 WATTBOURNE LN, LOUISVILLE, KY 40299, USA",ChIJK6FW_ngKaYgRpzHnt1A6Xow,"4600 WATTBOURNE LN, LOUISVILLE, KY 40299",74,"4600 WATTBOURNE LN, LOUISVILLE, KY 40299"
Bluegrass Liquors,"3920 RUCKRIEGEL PKWY # 100, LOUISVILLE, KY 40299, USA",ChIJk0InnPigaYgRTo8NgYivwzQ,"3920 RUCKRIEGEL PKY, 106, JEFFERSONTOWN, KY 40299",74,"3920 RUCKRIEGEL PKY, 106, JEFFERSONTOWN, KY 40299"
