Google Place Name,Google Address,Google Place ID,lat,long,ArcGIS Best Match,Match Score,Matched Street Name
Heine Brothers Coffee - Northfield,"4901 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJGTW2hah1aYgRts2pm43GUjk,38.281242899999995,-85.6336037,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",74,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Taco Bell,"7420 WESTPORT RD, LOUISVILLE, KY 40222, USA",ChIJg9FghSl1aYgRUS34qLzs4Kk,38.2705482,-85.6142157,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Westport Village,"1315 HERR LN, LOUISVILLE, KY 40222, USA",ChIJhdqUZXB1aYgRSYPj6zeHvAA,38.268695699999995,-85.6134088,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",62,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Holiday Manor Shopping Center,"4943 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJf4mTgaZ1aYgRK989f1e_xtQ,38.283281599999995,-85.6312094,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",71,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Milk & Honey,"1301 HERR LN #152, LOUISVILLE, KY 40222, USA",ChIJn3iKzr51aYgR7AfJ2jrZNFQ,38.268715799999995,-85.6134094,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",61,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Holiday Green Cleaners & Laundry,"2229 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJqamIeKZ1aYgRUXbpe2npb5U,38.283017,-85.6302219,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",74,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
Golden Keep Game Co.,"1201 HERR LN STE. 180C, LOUISVILLE, KY 40222, USA",ChIJazXWpuV1aYgRDi2ia3qT6Dw,38.267496099999995,-85.61236679999999,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",69,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
That Cute Little Shop,"4903 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJm7qJDXKeaYgR_rL-Bm4ZIrU,38.2815303,-85.6331491,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",74,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
FITNESS 19,"2400 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJSWB9kaR1aYgRI1wGwNCaHPk,38.2865845,-85.629266,"2420 LIME KILN LN, NORTHFIELD, KY 40222",73,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Derby Fit,"4949 BROWNSBORO RD, LOUISVILLE, KY 40222, USA",ChIJ9fdfJKR1aYgRfoNQkzWNBao,38.2833159,-85.62975879999999,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222",71,"4900 BROWNSBORO RD, NORTHFIELD, KY 40222"
Westport Whiskey & Wine,"1115 HERR LN #140, LOUISVILLE, KY 40222, USA",ChIJgXG4TWV1aYgRsL4YTbc0uUs,38.2674193,-85.6117481,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",75,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Kroger Liquor Store,"2227 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJHdVida11aYgRBMuHU6ubTmg,38.283705999999995,-85.63042399999999,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",71,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
CVS Pharmacy,"2311 LIME KILN CT, LOUISVILLE, KY 40222, USA",ChIJD0Fb3BN1aYgRZJM4yc39l_Y,38.2844599,-85.627833,"2121 CRUMS LN, SHIVELY, KY 40216",60,"2121 CRUMS LN, SHIVELY, KY 40216"
Walgreens Pharmacy,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJpby7uKR1aYgRKXu2xTaruGk,38.2872755,-85.62943969999999,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Kroger Pharmacy,"2219 HOLIDAY MANOR CENTER, LOUISVILLE, KY 40222, USA",ChIJge1_16V1aYgRNmEvve_cjog,38.2840997,-85.63076439999999,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222",77,"2219 HOLIDAY MANOR CTR, NORTHFIELD, KY 40222"
Anne Steele Linden Office,"2325 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJ_yRGdKR1aYgRDiGGXrhDMi8,38.2856022,-85.6271495,"2420 LIME KILN LN, NORTHFIELD, KY 40222",70,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
COVID-19 Drive-Thru Testing at Walgreens,"2420 LIME KILN LN, LOUISVILLE, KY 40222, USA",ChIJ__8_x6R1aYgRnEA-Vf0oZkA,38.2871711,-85.6294621,"2420 LIME KILN LN, NORTHFIELD, KY 40222",77,"2420 LIME KILN LN, NORTHFIELD, KY 40222"
Closets by Design - Louisville,"1301 HERR LN SUITE 105, LOUISVILLE, KY 40222, USA",ChIJR7C_DXB1aYgRwx-GFRJM5tc,38.2682084,-85.61327059999999,"1115 HERR LN, 140, ST MATTHEWS, KY 40222",68,"1115 HERR LN, 140, ST MATTHEWS, KY 40222"
Smoke Palace,"9611 WHIPPS MILL RD, LOUISVILLE, KY 40242, USA",ChIJn0W7vSufaYgRoQvjEUn-jj0,38.2688658,-85.57870299999999,"9611 WHIPPS MILL RD, LYNDON, KY 40242",83,"9611 WHIPPS MILL RD, LYNDON, KY 40242"
Trippy's Smoke Shop,"8209 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJwU-irSOfaYgReddnUdK7VnE,38.248763000000004,-85.601753,"8209 SHELBYVILLE RD, LYNDON, KY 40222",83,"8209 SHELBYVILLE RD, LYNDON, KY 40222"
iSmoke vap & smoke outlet,"9905 LA GRANGE RD UNIT#2, LOUISVILLE, KY 40223, USA",ChIJ0eNoyfGfaYgRgk1m2hu371w,38.2710934,-85.5684892,"9905 LA GRANGE RD, LYNDON, KY 40223",73,"9905 LA GRANGE RD, LYNDON, KY 40223"
Cox's Spirit Shoppe,"9200 WESTPORT RD, LOUISVILLE, KY 40242, USA",ChIJ9ZO_J0ieaYgRly_n51wNp2M,38.284749,-85.580562,"9240 WESPORT RD, 40242",93,"9240 WESPORT RD, 40242"
723 Vapor,"2809 N HURSTBOURNE PKWY #101, LOUISVILLE, KY 40223, USA",ChIJR4YollqeaYgR4qLMuvbKgXs,38.28673270000001,-85.57021809999999,"2809 N HURSTBOURNE PKY, 101, LOUISVILLE, KY 40223",81,"2809 N HURSTBOURNE PKY, 101, LOUISVILLE, KY 40223"
Thorntons,"605 LYNDON LN, LOUISVILLE, KY 40222, USA",ChIJP4X9u2F1aYgRWXj4qiyQv-A,38.2593574,-85.6036635,"605 LYNDON LN, LYNDON, KY 40222",79,"605 LYNDON LN, LYNDON, KY 40222"
Circle K,"9901 LA GRANGE RD, LOUISVILLE, KY 40223, USA",ChIJpSyGwq2faYgRnEauxe8Dpgk,38.271372199999995,-85.56950429999999,"9901 LA GRANGE RD, LYNDON, KY 40223",82,"9901 LA GRANGE RD, LYNDON, KY 40223"
Thorntons,"9400 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJY-ndqEieaYgRi95tHj95jZo,38.2854301,-85.5768678,"9240 WESPORT RD, 40242",88,"9240 WESPORT RD, 40242"
Speedway,"8015 SHELBYVILLE RD, LOUISVILLE, KY 40222, USA",ChIJScGKWx11aYgRwz5d60pyqwE,38.2490358,-85.60481490000001,"8015 SHELBYVILLE RD, LYNDON, KY 40222",83,"8015 SHELBYVILLE RD, LYNDON, KY 40222"
Kroger Fuel Center,"9507 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJe8G7rUWeaYgRA5PQIloDasc,38.288201,-85.57333299999999,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Circle K,"9619 WHIPPS MILL RD, LOUISVILLE, KY 40242, USA",ChIJe_D7k7afaYgRMfb6CE-YOmE,38.2693274,-85.5783757,"9619 WHIPPS MILL RD, LYNDON, KY 40242",83,"9619 WHIPPS MILL RD, LYNDON, KY 40242"
Fuel 19,"9619 WHIPPS MILL RD, LOUISVILLE, KY 40242, USA",ChIJ-yEIMwCfaYgRKiZmzXiO3Kw,38.2693709,-85.578364,"9619 WHIPPS MILL RD, LYNDON, KY 40242",83,"9619 WHIPPS MILL RD, LYNDON, KY 40242"
Dollar General,"9615 WHIPPS MILL RD, LOUISVILLE, KY 40242, USA",ChIJo4rV5-efaYgRe2bcXjvc0Ik,38.269,-85.579,"9615 WHIPPS MILL RD, LYNDON, KY 40242",83,"9615 WHIPPS MILL RD, LYNDON, KY 40242"
Anar Food Mart,"8730 WESTPORT RD, LOUISVILLE, KY 40242, USA",ChIJtZPfNjKeaYgRAxMfKnGXOcI,38.280215600000005,-85.58976439999999,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Walgreens Pharmacy,"9702 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ30xlyVqeaYgRDjvZkqxVo-8,38.287418699999996,-85.57112839999999,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Walgreens,"9702 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJpwrhy1qeaYgRrlg2aMBlSe0,38.287418699999996,-85.5711204,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
Walgreens Photo,"9702 WESTPORT RD, LOUISVILLE, KY 40241, USA",ChIJ30xlyVqeaYgRBIfEvMRa8n0,38.287331,-85.5713292,"9240 WESPORT RD, 40242",84,"9240 WESPORT RD, 40242"
